aisle_id,aisle,order_count,reorder_count,perc_reorder,popularity_rank
1,prepared soups salads,74864,44666,59.66,78
2,specialty cheeses,86364,42297,48.98,73
3,energy granola bars,473835,283351,59.8,15
4,instant foods,210604,103244,49.02,48
5,marinades meat preparation,65415,18402,28.13,86
6,other,38086,15503,40.71,95
7,packaged meat,35391,19212,54.28,100
8,bakery desserts,36372,18163,49.94,98
9,pasta sauce,228123,109559,48.03,45
10,kitchen supplies,9620,1874,19.48,129
11,cold flu allergy,27407,6450,23.53,107
12,fresh pasta,38355,19396,50.57,93
13,prepared meals,103165,63995,62.03,69
14,tofu meat alternatives,134597,82033,60.95,58
15,packaged seafood,21840,11115,50.89,112
16,fresh herbs,393793,203786,51.75,20
17,baking ingredients,339780,103784,30.54,26
18,bulk dried fruits vegetables,18093,11214,61.98,118
19,oils vinegars,256086,90055,35.17,40
20,oral hygiene,66819,21600,32.33,84
21,packaged cheese,1021462,598280,58.57,5
22,hair care,33482,8262,24.68,102
23,popcorn jerky,170441,100923,59.21,53
24,fresh fruits,3792661,2726251,71.88,1
25,soap,66832,21397,32.02,83
26,coffee,215467,133477,61.95,47
27,beers coolers,50496,28627,56.69,87
28,red wines,36424,20034,55.0,97
29,honeys syrups nectars,69790,25099,35.96,81
30,latino foods,78495,31286,39.86,74
31,refrigerated,599109,397213,66.3,11
32,packaged produce,289488,200319,69.2,34
33,kosher foods,12426,4951,39.84,123
34,frozen meat seafood,75083,39837,53.06,76
35,poultry counter,134722,82690,61.38,57
36,butter,264892,152865,57.71,37
37,ice cream ice,521101,256194,49.16,13
38,frozen meals,408520,228222,55.87,18
39,seafood counter,30726,15895,51.73,104
40,dog food care,35915,20335,56.62,99
41,cat food care,66306,41259,62.23,85
42,frozen vegan vegetarian,104096,56680,54.45,67
43,buns rolls,118069,62738,53.14,61
44,eye ear care,9522,2100,22.05,130
45,candy chocolate,312020,178783,57.3,31
46,mint gum,23626,13263,56.14,110
47,vitamins supplements,47028,14681,31.22,88
48,breakfast bars pastries,75004,44008,58.67,77
49,packaged poultry,124045,74524,60.08,60
50,fruit vegetable snacks,182498,108180,59.28,51
51,preserved dips spreads,113879,53525,47.0,63
52,frozen breakfast,242492,152086,62.72,43
53,cream,330358,226356,68.52,27
54,paper goods,255690,135265,52.9,41
55,shave needs,10876,2864,26.33,127
