department_id,department,order_count,reorder_count,perc_reorder,popularity_rank
1,frozen,2336858,1268058,54.26,5
2,other,38086,15503,40.71,20
3,bakery,1225181,769880,62.84,7
4,produce,9888378,6432596,65.05,1
5,alcohol,159294,90992,57.12,17
6,international,281155,103938,36.97,16
7,beverages,2804175,1832952,65.37,4
8,pets,102221,61594,60.26,18
9,dry goods pasta,905340,418466,46.22,10
10,bulk,35932,20736,57.71,21
11,personal care,468693,150855,32.19,14
12,meat seafood,739238,420349,56.86,12
13,pantry,1956819,679799,34.74,6
14,breakfast,739069,414877,56.14,13
15,canned goods,1114857,511317,45.86,8
16,dairy eggs,5631067,3773723,67.02,2
17,household,774652,312447,40.33,11
18,babies,438743,253453,57.77,15
19,snacks,3006412,1727075,57.45,3
20,deli,1095540,666231,60.81,9
21,missing,77396,30519,39.43,19
