product_id,order_count,reorder_count,perc_reorder,product_name,aisle_id,department_id,popularity_rank,cart_order
24852,491291,415166,84.51,Banana,24,4,1,4.89
13176,394930,329275,83.38,Bag of Organic Bananas,24,4,2,5.1
21137,275577,214448,77.82,Organic Strawberries,24,4,3,7.25
21903,251705,194939,77.45,Organic Baby Spinach,123,4,4,7.43
47209,220877,176173,79.76,Organic Hass Avocado,24,4,5,6.78
47766,184224,140270,76.14,Organic Avocado,24,4,6,6.44
47626,160792,112178,69.77,Large Lemon,24,4,7,7.95
16797,149445,104588,69.98,Strawberries,24,4,8,7.12
26209,146660,100002,68.19,Limes,24,4,9,8.58
27845,142813,118684,83.1,Organic Whole Milk,84,16,10,5.43
27966,142603,109688,76.92,Organic Raspberries,123,4,11,7.21
22935,117716,82166,69.8,Organic Yellow Onion,83,4,12,8.52
24964,113936,77704,68.2,Organic Garlic,83,4,13,8.77
45007,109412,75431,68.94,Organic Zucchini,83,4,14,9.0
39275,105026,66306,63.13,Organic Blueberries,123,4,15,8.19
49683,99728,69022,69.21,Cucumber Kirby,83,4,16,7.66
28204,92889,66237,71.31,Organic Fuji Apple,24,4,17,7.01
5876,91251,63046,69.09,Organic Lemon,24,4,18,8.06
40706,88078,57957,65.8,Organic Grape Tomatoes,123,4,19,9.46
8277,87272,64134,73.49,Apple Honeycrisp Organic,24,4,20,7.65
4920,86748,58046,66.91,Seedless Red Grapes,123,4,21,8.21
30391,85005,59058,69.48,Organic Cucumber,83,4,22,8.59
45066,83320,60473,72.58,Honeycrisp Apple,24,4,23,7.39
42265,80493,52951,65.78,Organic Baby Carrots,123,4,24,8.7
44632,79245,61175,77.2,Sparkling Water Grapefruit,115,7,25,6.22
49235,79006,61801,78.22,Organic Half & Half,53,16,26,6.08
19057,78056,59489,76.21,Organic Large Extra Fancy Fuji Apple,24,4,27,7.51
4605,76929,45817,59.56,Yellow Onions,83,4,28,8.23
21616,75752,51869,68.47,Organic Baby Arugula,123,4,29,8.48
37646,75655,55506,73.37,Organic Gala Apples,24,4,30,7.59
17794,75233,48215,64.09,Carrots,83,4,31,8.62
27104,74235,47788,64.37,Fresh Cauliflower,83,4,32,9.13
30489,74172,53910,72.68,Original Hummus,67,20,33,8.41
31717,73050,45411,62.16,Organic Cilantro,16,4,34,9.15
27086,71641,54626,76.25,Half & Half,53,16,35,6.44
46979,71151,44042,61.9,Asparagus,83,4,36,8.8
8518,70804,43757,61.8,Organic Red Onion,83,4,37,9.37
44359,70714,44621,63.1,Organic Small Bunch Celery,83,4,38,9.17
28985,70076,48785,69.62,Michigan Organic Kale,83,4,39,7.5
41950,66827,43983,65.82,Organic Tomato Cluster,83,4,40,8.64
26604,64589,42138,65.24,Organic Blackberries,24,4,41,8.33
5077,63114,46586,73.81,100% Whole Wheat Bread,112,3,42,7.05
34126,63021,38644,61.32,Organic Italian Parsley Bunch,16,4,43,9.2
22035,61669,47204,76.54,Organic Whole String Cheese,21,16,44,8.07
39877,61116,43291,70.83,Organic Granny Smith Apple,24,4,45,7.99
43352,60919,41835,68.67,Raspberries,32,4,46,6.19
35951,60071,45558,75.84,Organic Unsweetened Almond Milk,91,16,47,6.63
10749,59878,39567,66.08,Organic Red Bell Pepper,83,4,48,8.99
19660,58312,47392,81.27,Spring Water,115,7,49,4.55
