,Importance
remainder__cart_order,0.38387307170749807
"remainder__Carbohydrate, by difference",0.1860573114622776
cat__aisle_id_24,0.09023557468308756
remainder__Water,0.08494829830292636
remainder__Protein,0.082819135600922
remainder__Total lipid (fat),0.08230032698219976
cat__department_id_4,0.028212181639379826
remainder__Energy,0.0252545803669783
cat__aisle_id_123,0.007371049718733289
cat__aisle_id_84,0.004630810288240448
cat__aisle_id_83,0.003353617577100593
cat__aisle_id_77,0.002991922262645116
cat__aisle_id_115,0.002417209501948253
cat__aisle_id_53,0.0017234631124550962
cat__aisle_id_32,0.0015275518161591607
cat__aisle_id_21,0.0013888851824657871
cat__aisle_id_67,0.0008643659335799132
cat__department_id_16,0.0008411290725372783
cat__department_id_7,0.0007458529082438478
cat__aisle_id_125,0.0007112307394140284
cat__aisle_id_91,0.000677980635367718
cat__aisle_id_16,0.0006721802679780733
cat__aisle_id_49,0.0006503491934647726
cat__aisle_id_116,0.000605964965706916
cat__aisle_id_120,0.0004565818776539488
cat__aisle_id_59,0.0003991511288814531
cat__aisle_id_31,0.000352007261250373
cat__department_id_20,0.0003282352952357692
cat__aisle_id_96,0.0003255729281415837
cat__aisle_id_35,0.00027731550453739085
cat__aisle_id_107,0.0002607941539879345
cat__department_id_19,0.00023905949277346831
cat__aisle_id_88,0.00021721023281710196
cat__aisle_id_14,0.0001706480674950522
cat__department_id_17,0.00013843756816397915
cat__aisle_id_54,0.00013003826045015032
cat__aisle_id_23,0.000127491985280079
cat__aisle_id_3,0.00012335023638385725
cat__aisle_id_112,0.0001137679941996684
cat__aisle_id_36,8.336101167785164e-05
cat__aisle_id_106,8.277971266683257e-05
cat__department_id_1,7.593236948846674e-05
cat__aisle_id_61,7.356857217776789e-05
cat__aisle_id_98,7.052318762283954e-05
cat__aisle_id_45,7.015582246393034e-05
cat__department_id_13,6.978761779873235e-05
cat__aisle_id_51,6.852084534451452e-05
cat__aisle_id_50,6.70346072327059e-05
cat__aisle_id_9,6.589037001180389e-05
cat__aisle_id_108,5.815397457813993e-05
cat__aisle_id_99,5.6474793405177645e-05
cat__aisle_id_86,5.2217967543773275e-05
cat__aisle_id_117,5.1133807316460814e-05
cat__department_id_5,4.943043656660722e-05
cat__aisle_id_121,4.347883962843986e-05
cat__aisle_id_79,4.2048885216601174e-05
cat__department_id_12,3.644902291168179e-05
cat__aisle_id_130,3.4886400446932834e-05
cat__department_id_14,3.179544359159855e-05
cat__aisle_id_58,3.1101308120034274e-05
cat__department_id_15,2.7808980645316062e-05
cat__department_id_3,2.666906055438608e-05
cat__aisle_id_19,2.527444922068179e-05
cat__aisle_id_78,2.0835567684186242e-05
cat__aisle_id_27,1.7926471168052562e-05
cat__aisle_id_131,1.08323432405671e-05
cat__aisle_id_81,9.46680374551045e-06
cat__aisle_id_34,9.378808646402361e-06
cat__aisle_id_93,9.07215224711428e-06
cat__aisle_id_2,8.641034457025042e-06
cat__aisle_id_38,8.323059442228896e-06
cat__department_id_9,8.235519105748004e-06
cat__aisle_id_37,7.7709375134821e-06
cat__aisle_id_1,7.160970726009318e-06
cat__aisle_id_52,6.0370328552440025e-06
cat__aisle_id_128,5.99952039865139e-06
cat__aisle_id_105,5.513451194381583e-06
cat__aisle_id_72,4.065829018882809e-06
cat__aisle_id_26,3.796991622165102e-06
cat__aisle_id_124,2.8222822127739593e-06
cat__aisle_id_48,2.778189698624086e-06
cat__aisle_id_43,2.670372526002269e-06
cat__aisle_id_69,2.0625097430772473e-06
cat__aisle_id_94,1.9463286838763478e-06
cat__aisle_id_7,1.9065602002583384e-06
cat__aisle_id_42,1.856277068064602e-06
cat__aisle_id_13,1.7352049287422573e-06
cat__aisle_id_129,1.702499229999164e-06
cat__department_id_10,1.1929454836541792e-06
cat__aisle_id_4,1.1105857831458387e-06
cat__aisle_id_63,9.859472432313329e-07
cat__aisle_id_122,7.427380276246006e-07
cat__aisle_id_29,5.945474092907309e-07
cat__aisle_id_110,5.933447872655845e-07
cat__aisle_id_64,5.687382302775025e-07
cat__department_id_18,5.341429310018492e-07
cat__department_id_6,4.822473122096447e-07
cat__aisle_id_92,4.2498453912413145e-07
cat__aisle_id_66,3.664186540427481e-07
cat__aisle_id_30,3.1922049426581134e-07
cat__aisle_id_46,3.138002211781463e-07
cat__aisle_id_17,2.790923352962298e-07
cat__aisle_id_68,2.1928395469527483e-07
cat__aisle_id_28,2.064890107720859e-07
cat__aisle_id_82,1.9458023250756142e-07
cat__aisle_id_57,8.278256685729479e-08
cat__aisle_id_85,6.799863376393318e-08
cat__aisle_id_74,0.0
cat__aisle_id_18,0.0
cat__aisle_id_62,0.0
cat__aisle_id_39,0.0
